"","","0.0 dB",
"10.0","Hz","-304.8266774845015","-5.366158222841477E-5",
"11.89207115002721","Hz","-298.79907193769475","-5.3661420452044695E-5",
"14.14213562373095","Hz","-292.768562059029","-5.366119148675352E-5",
"16.81792830507429","Hz","-286.73394232831635","-5.366086764979627E-5",
"19.999999999999996","Hz","-280.6935053703301","-5.366040915077974E-5",
"23.784142300054416","Hz","-274.6448315569913","-5.365976005577977E-5",
"28.284271247461895","Hz","-268.5844889181217","-5.365884049979286E-5",
"33.63585661014857","Hz","-262.50760363225794","-5.365753702335496E-5",
"39.999999999999986","Hz","-256.4072422704432","-5.365568739534865E-5",
"47.568284600108825","Hz","-250.2735171918452","-5.3653059069347364E-5",
"56.568542494923776","Hz","-244.09227862273386","-5.364931698181863E-5",
"67.27171322029713","Hz","-237.84317705638108","-5.3643974069927935E-5",
"79.99999999999996","Hz","-231.49674020375704","-5.363631453292328E-5",
"95.13656920021764","Hz","-225.00985257686193","-5.3625270822976745E-5",
"113.13708498984754","Hz","-218.31852623794424","-5.3609215115102415E-5",
"134.54342644059423","Hz","-211.32580697396946","-5.358559167234489E-5",
"159.9999999999999","Hz","-203.8802880385736","-5.355022193498371E-5",
"190.27313840043522","Hz","-195.7347266827712","-5.349588749936629E-5",
"226.27416997969502","Hz","-186.45699746247493","-5.340918374940884E-5",
"269.0868528811884","Hz","-175.20516653587947","-5.326302004959871E-5",
"319.9999999999997","Hz","-159.99104116128245","-5.300296732002607E-5",
"380.5462768008704","Hz","-133.45120796212433","-5.293911388548622E-5",
"452.54833995939","Hz","-92.90053637904408","-5.869666415492247E-5",
"538.1737057623768","Hz","-133.3521768391359","-5.738617772976795E-5",
"639.9999999999994","Hz","-160.3835009861286","-5.562280225035465E-5",
"761.0925536017407","Hz","-176.01484325792214","-5.5123887307217956E-5",
"905.09667991878","Hz","-187.77609140347442","-5.489898137511773E-5",
"1076.3474115247536","Hz","-197.74134332858156","-5.477706488932199E-5",
"1279.9999999999989","Hz","-206.85956008056675","-5.4704296445606815E-5",
"1522.1851072034815","Hz","-215.72494214133118","-5.465837853080302E-5",
"1810.19335983756","Hz","-224.85405739489252","-5.4628449930760326E-5",
"2152.6948230495072","Hz","-234.8899281072414","-5.460864309725366E-5",
"2559.9999999999977","Hz","-246.95530033723745","-5.459559051246288E-5",
"3044.370214406963","Hz","-263.80456510902457","-5.458735233787593E-5",
"3620.38671967512","Hz","-297.4591802818458","-5.458299699512281E-5",
"4305.3896460990145","Hz","-305.11883912054043","-5.4582734435371094E-5",
"5119.999999999995","Hz","-257.5543324898128","-5.458954268533489E-5",
"6088.740428813926","Hz","-227.8645315150955","-5.462134581080136E-5",
"7240.77343935024","Hz","-175.82783177168744","-5.5128350169297846E-5",
"8610.779292198029","Hz","-154.8813528637715","-5.587247417793151E-5",
"10239.99999999999","Hz","-237.41967915315044","-5.4605140093144655E-5",
"12177.480857627852","Hz","-324.0967969465644","-5.458241940914377E-5",
